公司,城市,简评,结果,难度,自评
字节跳动,北京,<p>为三面攒人品。自我介绍一结束，就被面试官抓着一个点深挖，结果我的回答并不好，面试官换了一个更具体的问题挖，我回答的也不是他想要的结果。本来按道理来说是凉的。但我比较刚，因为我回答的并没问题（面试官也没问题，只是我没跟上他的思维），我很刚很硬气的解释了我给的步骤和他说的步骤有什么不同 以及为什么答案都是一样的对。</p><p>事后想一想，感觉面试官看上了我不畏强权？敢于回怼面试官（并没有），我解释完之后面试官无声思考了快一分钟，然后说他的问题问完了。所以五十分钟下来 一共问了我俩问题，俩问题还是一个性质。本来以为我凉了，因为除了这俩本质相同的问题外，面试官别的一点没问，按照其他面经应该还会问问产品。</p><p>打游戏舒缓的过程中（大约面完十五分钟后），接到hr电话 ，心想字节发好人卡都亲自打电话，太贴心。结果说面试通过，约三面时间（当场游戏挂机）。虽然我面试经验不多，但我感觉字节给面试者很大的，权利？去提出质疑以及维护自己的思想，只要你说的对，且能让面试官理解你的意思，面试官可能并不会觉得 “你这个人怎么不懂人情世故，这样反驳我”。反而会觉得你具有思辨思维，且掌握的比较扎实。 当然这只是一个leader给我的感觉，但还是想提醒大家，当你觉得可能没有很大机会的时候，或许勇敢地展现自己，会得到意想不到的好结果。</p>,感觉靠谱,一般,一般
南京诚力复合材料有限公司,南京,其实就是备货专员的面试，面试体验感一般吧。之前的人事都挺好的，还给倒水，最后一个女的人事总监态度不行，感觉居高临下。因为我没做过，被瞧不上了。,感觉没戏,一般,一般
eBay,上海,现场限时完成三道SQL题；两轮单面：第一轮是基本情况了解加电脑技能细挖，压力面试；第二轮针对我前一份在滴滴的实习经历进行深入挖掘，主要为用户画像和精准营销方面的问题。面试官比较严肃，会push你。,面试通过,困难,很好
太原伟业我爱我家房地产经纪有限公司平阳云水店,太原,网上投的简历，人事打电话面邀。一开始是人事问了些基本情况，之后是部门主管面试，问了些工作经历，所学技能。之后介绍了工作内容，问你有啥想法没。第二天打电话通知面试成功。,面试通过,一般,一般
汇丰环球,广州,51上面投简历，hr约面试，先做测试题，有sas和quantitive的全英测试题，然后和department manager聊，全英。,感觉没戏,困难,很好
facebook SG,北京,"<p>上周刚结束fb店面。分享一下。攒攒人品！bq: why fb? why leaving? walk-through resume. sql. 三个instgram data tables：table 1: name， group table 2: user_id, name table 3: user_id, user_follower &nbsp; &nbsp; calculate how many followers per group?&nbsp;</p><p>很简单，两个join 就可以了。business sense: why facebook acquire instgram? 统计：what&#39;s p-value? 一共45分钟，国人小哥，很 nice！</p>",感觉靠谱,困难,一般
小红书,上海,远程面试的，因为人是在美国没法on - site，整个过程很好。面试官很专业很耐心，体验很好，但结果未知。,感觉靠谱,有难度,很好
广州若羽臣科技股份有限公司,广州,面试数据分析，初试后直属领导做复试，面试当天就收到offer。,面试通过,有难度,很好
百度,北京,面的初级的数据分析，面试官当场拿着笔记本让你做一个简单的数据操作，EXCEL透视表之类的。之后给你出了个题目，让你回家做一下发给她。,感觉没戏,困难,很好
平安科技,深圳,数据分析实习，电话面试，简单的问了简历的情况、都做过什么项目、会那些算法、最后说实习至少3个月时间就没了。,面试通过,有难度,很好
北京当代金融培训有限公司,北京,面试数据分析岗，分两轮，整体感觉公司很好，刚开始去就是填表，还没有出结果，不知道能不能面上。希望能够顺利通过。,感觉靠谱,一般,很好
腾讯,深圳,数据分析的面试，第一面，面试侧重于对项目背景和意义的了解，无奈自己准备不充分，导致面试失败。所以无论做什么事情，好好准备下。,面试未通过,有难度,很好
联想,北京,数据分析实习生面试，面试题是SQL，难度适中。两个考官，工作范围很好，每天都有饭补。同事都很亲切。有大公司的范儿，很喜欢。,面试通过,有难度,很好
联想,北京,面试官很亲切，因为我是本科生，所以问了一些学校的情况，以及未来想去哪里读研等等。着重问了所做过的一个数据挖掘项目和数据分析实习，主要做了什么，使用什么编程语言，总体不是很难。,感觉靠谱,一般,很好
大搜车,北京,<p>面的数据分析岗位，一共4面，分别是产品，hr，集团的数据分析师和一个数据分析老大。除了老大，其他三个都比较年轻。前面2面在一个楼，后面2面在马路对面的另外一个楼。等待加面试的时间总体还是比较久的，我是下午2点左右填完表格开始等待加面试，一直到傍晚6点左右结束。</p><p>面试的问题相对而言比较专业，都和数据分析紧密相关。写一下还记得的吧。自我介绍。之前工作经历当中比较有价值、真正推动业务的分析。平时工作中用得比较多的数据分析工具。给一个618搞活动的场景，说说会怎么去分析活动的效果。能否在618活动之前给出预估的今年的目标，怎么做（类似制定KPI）。为什么选择数据分析这个岗位。对自己职业的规划。自己的优缺点。对数据是否敏感，能否举个例子说明自己对数据敏感。</p><p>最后老大给了技术面和压力面，问题涉及python和数据库/sql，虽然我目前不会python编程简历也没有写可是还是被问了。一个是在一亿条数据里找出top100sku并给出对应的时间复杂度（可能是这样问的，其实我听不太懂）。还有一个是在两个1t大小的数据文件里找出什么信息（具体忘记了），答案是要做数据预处理，分组排序入库提取左连接等等。</p><p>最后一面太技术了，上来就把我问懵了，不过老大人还是很好的，毕竟是面试，还是要专业一些。个人建议多梳理梳理自己以往做过的项目和汇报，如果能从业务当中显示自己的能力，也许不会被问过于技术的问题。工作还是一个双向选择的过程，面试让别人了解你，你也有机会了解公司的业务看到公司的一些面貌。</p><p>总体而言，除了等待，除了面的轮次稍微多了点（一般感觉加上hr三轮差不多），其他都感觉还可以。公司内部环境也还可以，员工明显都偏年轻，典型的互联网企业。不过这些都是表面看到的，无论如何也只有内部员工知道这个公司到底怎么样。</p>,感觉没戏,有难度,一般
固安捷(中国)工业品销售有限责任公司,上海,面试数据分析实习生 开始填份常规的个人表格 然后1对1面，主要问题也是针对简历，面完再去和主管进行二面，也是比较容易的 总之算是挺水的一次面试,面试通过,很容易,一般
上海太平洋房屋,上海,总共参加了两次1对1面试。第一次面试问了些数据分析方法相关的问题，通过之后第二天就参加第二次面试，也顺利通过。听网上说应聘太平洋房屋的学生基本都能通过。,面试通过,一般,一般
广东壹号食品股份有限公司,广州,<p>面试数据分析员，不太匹配，虽说也工作五六年了，我最多就是销售支持加优秀数据统计，未到分析。因为我是跨行业的求职，离开了业务的分析都是纸老虎，所以，就带着见识见识去面试。例牌填表格，很快就到我了。我还忐忑。数据岗位的机试难不难，不用，直接面试主管或者经理，起码肯定不是hr。</p><p>自我介绍云云，也不问我Excel和vba水平，上来就问我上份离职原因，我说因为是销售型公司，管理比较差。那关你什么事，你做数据的。我解释到，只能导出半年数据，而且在我离职前，财务部应老板要求将很多门店名称直接在数据库转成新名称，不用通知其他部门，起码我和经理没收到邮件。他回应，那一个vlookup就OK啦。我说我懂，但改数据库这么大的事情，是不是应该相互通知一下，并且由于只能导出半年数据，那以前做下来的历史数据就对不上了。他只是冷哼一声，表示不屑。接着就结束了。</p><p>说不定主管他是个大神，对于我这种菜鸟不屑一顾，但我觉得改数据库这是个很重要的流程问题，而不是简单的数据问题。如有得罪，请见谅。毕竟语境不一样，很难得出相同的意思。共勉！</p>,面试未通过,一般,不好
前海<em class=\,深圳,主要就是保持逻辑清晰，问一下具体问题的解决方案，群面，面完以后就谈了薪资，比较快能知道结果，对这家公司印象还不错。,面试通过,一般,很好
盒子科技,北京,技术面就是让说喜欢的课程和项目经历，全程基本都是自己在说，面试官很和蔼，也介绍了工作的基本内容，但是没发挥好。,感觉没戏,一般,很好
浙江米奥兰特商务会展股份有限公司,杭州,<p>1.首先是自我介绍，简单了解一下个人在校情况，学习的课程及使用的数据分析软件的情况。</p><p>2.其次是给了我一道SQL的练习题，让我自己做一下。</p>,感觉没戏,有难度,一般
中国大地财产保险股份有限公司,上海,总公司下属电销事业部的数据分析岗，有两轮面试。第一轮是主管面，会问关于学校，岗位相关经历（比如数据比赛什么的），职业发展规划等问题。第二轮是老总面，会问简历相关内容，岗位相关内容，更侧重对你性格的观测吧。,面试通过,一般,很好
新华网,北京,面试数据分析职位。主要考察数据分析运用情况，偏向于软件。算法考察的不多，还是看自己的计算机能力怎么样。,面试未通过,有难度,很好
携程旅行网,上海,用人主管面试，聊一下之前的工作，之前的工作中数据分析思路是怎样的，本以为会问些算法类、语言类，但由于是业务部门，更关注一些思路方面的，然后是部门总监面试，也是问一些之前的工作内容。,面试未通过,一般,一般
优必爱,北京,数据分析实习生。前面有个笔试，挺简单的。面试官是个女的，真的是一副欠了她钱的语气，全程看不起你的样子，自行去感受。公司很小很小，奉劝各位不要浪费时间，反正我是面完赶紧跑 。,面试未通过,一般,不好
扩博,上海,经人refer获得面试机会。面试官分别是之后项目的mentor和general manager，前者面试都是技术问题，后者先介绍了一下公司和主要业务，然后问了一些职业规划和behavioral questions。技术问题比较常见，主要是SQL语言，数据库的搭建，主要的数据分析工具（power bi）的相关经验，也会问过去的项目经历，需要仔细准备，会被追问。,面试通过,有难度,一般
腾讯,深圳,<p>一面主要介绍项目经历，然后举了个实习的case，就该case提出了几个问题然后问了写ABtest的设计验证、AAtest的问题接着写了一道算次月留存的题目，over。</p><p>二面面试官不是做数据分析的，简单介绍了下项目，就没有了。</p>,感觉靠谱,有难度,很好
vip陪练,上海,面试比较简单，主要关注个人主动性，以及是否具备一定的分析思维。部门目前经历了一次比较大的变动，在数据分析的沉淀上不深，需要去了跟着一起搭建。但汇报结构是面向 COO，所以应该也还好。公司的面试官还是很诚恳的，在面试过程中直接将现状讲的非常清楚。最后薪资不太匹配以及先去更大的厂子，所以没去。,面试通过,一般,一般
趣头条,北京,<p>投了数据分析的实习岗，第二天收到笔试，几道SQL题，不太难。做完以后十几分钟HR就说笔试通过了来约面试，我不在上海，所以约了电话面。</p><p>面试内容：首先是自我介绍，然后面试官问了问我之前实习经历的业务逻辑，还让我根据自我介绍里面提到的优点举一些具体的例子。互联网行业我没接触过，实在答不出太专业的东西，我也坦诚地和面试官讲了。他表示这个岗位工作节奏很快压力也大，缺乏业务经验的话会很吃力，需要做好心理准备。其实我这次面试发挥的很一般，只是比较幸运，实习时间非常合适，面完当天晚上就发offer了。</p><p>总结：招聘的各个环节效率都极高，HR和面试官也都很专业很友好～</p>,面试通过,一般,很好
中国互联网络信息中心 CNNIC,北京,面试的是数据分析部门，跟做技术团队的人聊了一下作的项目。听了听然后直接给了邮箱，要求发一下现有作品。聊完之后是HR面试，聊了一下现在待遇，为什么离职，以及期望薪资。工资福利不错，但毕竟是企事业单位性质，工资不会给特别高，但是不加班并且能感受到公司氛围还是不错的。如果作品作的比较走心的话，面试几率还可以,感觉靠谱,困难,一般
奖多多,苏州,<p>1、面试人员：数据分析部门的主管及三四名数据团队的成员。</p><p>2、面试问题：首先问了过往从事过的项目经验情况，以及在项目中遇到的通过数据解决问题的案例。其次问了下比较简单的SQL的试题（从一个表格中查询成绩排名前十的人员名单），以及spss操作问题。</p><p>3、问了自己对这个岗位的认识是什么？以及其他问题。我主要问了下部门有没有学习交流平台，以及能不能接触一些大数据算法方面的知识，他们回答说这些都是完全可以的，他们会主动组织交流进行培训学习。</p>,面试通过,困难,一般
腾讯,深圳,<p>1.sql(extract QQ numbers )</p><p>2.逻辑(math problem)</p><p>3.代码(plus the two large numbers)</p>,面试未通过,困难,很好
百度,北京,项目跟找query有关，因为是产品，没有技术上的问题，问了在百度搜索上怎么判断query的类别和关联然后问了excel会哪些函数面试官中途出去开了个会，后来又回来聊了一会后来实习发现项目就是数据标注，没什么技术含量做久了有新的项目跟广告数据分析有关。,面试通过,有难度,一般
58同城,其它,看中数据分析思路，如果会工具会加分。sql、python都会会更好。数据处理能力也很关键，面试经历还算可以。,面试未通过,未评价,很好
广州兆达讯息科技有限公司,广州,<p>转行面的数据分析岗，因为之前没接触过sql，所以很多题都不会。</p><p>HR面的时候很好聊，但是到了公司老总面的时候，是一个中年女人，感觉那个老总十分不尊重人，全程冷脸，聊两句就看一下电脑，我向她了解公司具体做的业务内容和工作职责时，就说了一句是做电信的，我再往深入问的时候，她还是说就是做电信的，全程根本不想和你说话，一点都不尊重面试者，面试体验非常非常差！</p>,面试未通过,一般,不好
